dataset,instance_id,category,transform,scale,aligned_dims,aligned_planes
PartNet-Mobility,4043,Bottle,"1.0\,0.0\,0.0\,0.0006171817874869208\,0.0\,1.0\,0.0\,0.0006508039596568836\,0.0\,0.0\,1.0\,-0.014733730927668574\,0.0\,0.0\,0.0\,1.0",0.112830432,"0.0699995598969585\,0.0699995870095804\,0.19513731495096104","2.8421702622748117e-14\,-0.9999999999999716\,-2.384185506654132e-07\,0.03499977332370436\,-2.857885596214232e-14\,0.9999999999999715\,2.3841854944746415e-07\,-0.034999773323704436\,2.8421702697684974e-14\,-0.9999999999999715\,-2.3841855105829895e-07\,-0.03499978467234475\,-2.8421702697684974e-14\,0.9999999999999715\,2.3841855105829895e-07\,0.03499978467234475\,-0.9999999999999929\,1.1920927550862737e-07\,2.842170280995903e-14\,-0.03499977731671227\,0.9999999999999929\,-1.1920927550862736e-07\,-2.8421702695153778e-14\,0.03499977731671227\,-0.9978584278343935\,-0.06541068719920623\,-1.5595121172731e-08\,0.036368879998432406\,0.9978584278343934\,0.06541068719920676\,1.5595121278386683e-08\,-0.03636887999843241"
PartNet-Mobility,4064,Bottle,"1.0\,0.0\,0.0\,0.0010121550307904022\,0.0\,1.0\,0.0\,0.0009401549431515797\,0.0\,0.0\,1.0\,-0.010730895205899434\,0.0\,0.0\,0.0\,1.0",0.134202454,"0.07065651652576221\,0.07071060236810262\,0.2461427266302248",
PartNet-Mobility,4084,Bottle,"1.0\,0.0\,0.0\,-0.00031827753750931793\,0.0\,1.0\,0.0\,-5.102492400873952e-05\,0.0\,0.0\,1.0\,0.0008849352594652877\,0.0\,0.0\,0.0\,1.0",0.022272887,"0.025399197983660415\,0.025399197983660415\,0.03615190524180749","-1.1920929241981657e-07\,-1.1920928687485184e-07\,-0.9999999999999858\,0.017771524830731827\,1.1920929771298216e-07\,1.1920928693117557e-07\,0.9999999999999858\,-0.01645862823477805\,-0.039946446677876606\,-0.04638512189756622\,0.9981245923552629\,0.016796823257556406\,-0.039843460860826914\,0.04637725727930596\,-0.9981290741351445\,-0.01824205464422869\,0.7933364494848042\,0.6087424164813913\,-0.007067410787633139\,0.0008603549119840877\,-0.13060976817774467\,0.9914279962565612\,0.0034083273398838204\,0.003600446967081587\,-0.7933454640585194\,-0.608730581774066\,-0.007074847756645987\,-0.006058254066663416\,0.13052201887617518\,-0.991414776029619\,0.007793873146758669\,0.0028804461705646484\,-0.130527172829449\,-0.9914388803486328\,0.003406418383076048\,-0.006059303386059792\,0.13053307967768776\,0.9914102595702844\,0.008173880879966573\,-0.0016380524610654004\,0.991439106122467\,-0.1305245607447722\,-0.0034406239939685263\,0.005278219655694722\,-0.9914117666311674\,0.12397375642788312\,-0.041631919273890684\,0.003507487425273504\,-0.9914334473906193\,-0.1305238148002631\,0.004822153578908014\,-0.0025003715167079043\,0.9914233450218928\,0.1304339579125751\,-0.00816906168794772\,0.003977369172030085\,0.9238528325696195\,0.38270009001027755\,-0.0060485419082546305\,0.006145253761363154"
PartNet-Mobility,4118,Bottle,"1.0\,0.0\,0.0\,-0.0005460906810895415\,0.0\,1.0\,0.0\,0.00014596562047859696\,0.0\,0.0\,1.0\,0.0042860868977132\,0.0\,0.0\,0.0\,1.0",0.067219478,"0.07620189758718651\,0.07620183914418815\,0.11240584268301335","0.0\,0.0\,-1.0\,0.04785278429456302\,0.0\,0.0\,1.0\,-0.04785278429456302\,1.1920922145367378e-07\,1.2864003591650774e-14\,-0.9999999999999929\,-0.05434732358701087\,-1.1920927567748153e-07\,3.3180211409711064e-14\,0.9999999999999928\,0.054347323587008764\,-0.10169599788750554\,-0.9948155226038898\,-1.1859123742641631e-07\,0.036581287732186614"
PartNet-Mobility,4200,Bottle,"1.0\,0.0\,0.0\,0.0001942219573092263\,0.0\,1.0\,0.0\,-0.000778014781234182\,0.0\,0.0\,1.0\,0.0032794719043283127\,0.0\,0.0\,0.0\,1.0",0.066457352,"0.07610290992942081\,0.07619973669434676\,0.11723861464649543","0.0\,0.0\,1.0\,-0.058619307323247716\,0.0\,0.0\,-1.0\,0.04244850476472828"
PartNet-Mobility,4204,Bottle,"1.0\,0.0\,0.0\,0.0005462952735192997\,0.0\,1.0\,0.0\,0.00036029025287582714\,0.0\,0.0\,1.0\,-0.003440689292362426\,0.0\,0.0\,0.0\,1.0",0.055022795,"0.0702394124908603\,0.07023935673741333\,0.09430513341913305","0.00841815795517551\,-0.010970754956050714\,0.9999043840049587\,-0.04166692657700663\,1.1920929599217737e-07\,-5.960463827409754e-08\,-0.9999999999999911\,0.047152563863608936\,-1.1920928125262765e-07\,1.192093061278945e-07\,0.9999999999999858\,0.0471525625498579\,1.192092697036893e-07\,-1.1920928539567592e-07\,-0.9999999999999858\,-0.0471525625498573"
PartNet-Mobility,4216,Bottle,"1.0\,0.0\,0.0\,-7.863750580489048e-05\,0.0\,1.0\,0.0\,-0.0003369934321413165\,0.0\,0.0\,1.0\,-0.0054904186032067315\,0.0\,0.0\,0.0\,1.0",0.091973757,"0.11322983157393053\,0.11322982609186667\,0.15000968914827736","0.00013035700338728332\,1.729671889348851e-05\,0.9999999913539376\,0.0749984770276481\,1.1920927642673486e-07\,-1.1920928311393955e-07\,-0.9999999999999859\,-0.07499840041512741\,1.1920927511406466e-07\,-1.192093035181479e-07\,-0.9999999999999858\,0.014271341763627477\,-1.1920927872646233e-07\,1.192092916710224e-07\,0.9999999999999859\,-0.017693410512742782\,-1.2261501261781067e-07\,7.586545872073124e-07\,-0.9999999999997047\,0.06710167807917262\,5.46046957495913e-06\,-2.2275076514406445e-06\,0.9999999999826108\,-0.06710145635289817"
PartNet-Mobility,4233,Bottle,"1.0\,0.0\,0.0\,-0.0005491371145287527\,0.0\,1.0\,0.0\,-0.0020473254882017594\,0.0\,0.0\,1.0\,0.002503009020369342\,0.0\,0.0\,0.0\,1.0",0.075003233,"0.11600144436445568\,0.11600143144628121\,0.1253313170733459","-1.2350834131073873e-15\,1.490116184472128e-07\,-0.9999999999999889\,0.04792076701764097\,-1.1920929251048674e-07\,-8.0578027312356e-15\,0.9999999999999929\,-0.06085312614718173"
PartNet-Mobility,4314,Bottle,"1.0\,0.0\,0.0\,-0.00036769397756662367\,0.0\,1.0\,0.0\,4.2851100268446324e-05\,0.0\,0.0\,1.0\,-0.0005610381971910897\,0.0\,0.0\,0.0\,1.0",0.077696053,"0.0750002480488165\,0.075000249070907\,0.1392862041112084","-1.1920928424479225e-07\,-1.1920929178159355e-07\,0.9999999999999859\,-0.06964309637328396\,1.1486972261614032e-06\,5.868367804084843e-08\,-0.9999999999993384\,0.06071453893996423\,1.1920927503642664e-07\,-1.1920929325863862e-07\,-0.9999999999999857\,-0.06964309708827893\,-1.192092747882829e-07\,1.1920929514348326e-07\,0.9999999999999859\,0.06964309708827898"
PartNet-Mobility,4393,Bottle,"1.0\,0.0\,0.0\,0.00016447062405902657\,0.0\,1.0\,0.0\,0.0007812404931311634\,0.0\,0.0\,1.0\,0.0032763278668866344\,0.0\,0.0\,0.0\,1.0",0.12422359,"0.1196121604035909\,0.11961216043260094\,0.2347829762612912",
PartNet-Mobility,4427,Bottle,"1.0\,0.0\,0.0\,0.0004937013903083542\,0.0\,1.0\,0.0\,7.130534069865746e-05\,0.0\,0.0\,1.0\,-0.0033243823789734367\,0.0\,0.0\,0.0\,1.0",0.071056371,"0.07500085560377956\,0.0750009276037078\,0.12187647579927932","0.0\,0.0\,1.0\,0.06093823789963967\,0.0\,0.0\,-1.0\,-0.06093823789963967\,2.3841849304192763e-07\,1.490116835911208e-07\,-0.9999999999999605\,0.06093822947007407\,-2.3841849268732774e-07\,-1.4901168082966577e-07\,0.9999999999999604\,-0.060938229470074025"
PartNet-Mobility,4500,Bottle,"1.0\,0.0\,0.0\,-0.0003413090859165635\,0.0\,1.0\,0.0\,0.002381839689381226\,0.0\,0.0\,1.0\,-0.018041261497228817\,0.0\,0.0\,0.0\,1.0",0.149500409,"0.12807909983492394\,0.12807909983492394\,0.2692900206116785",
PartNet-Mobility,4514,Bottle,"1.0\,0.0\,0.0\,-0.000545771827839811\,0.0\,1.0\,0.0\,-0.00032012248933321885\,0.0\,0.0\,1.0\,0.0012634142742134272\,0.0\,0.0\,0.0\,1.0",0.075949367,"0.07500014666207822\,0.07500014666207822\,0.13954800086172436","0.7071067074295612\,-0.7071068549435211\,-8.429371016704691e-08\,0.03230282272578594\,-0.7071066998880386\,0.7071068624850426\,7.912328932298998e-08\,-0.03230282153037601\,-0.7071018326824848\,-0.7071117296559747\,-8.42942870247482e-08\,0.03230265110931449\,0.7071073056585847\,0.7071062567139899\,4.31311333700719e-07\,-0.03230277062021012\,0.7071066923464021\,-0.7071068700265\,5.070023863328469e-07\,-0.032302785687761834\,-0.7071067074295613\,0.7071068549435211\,8.429370376263766e-08\,0.03230276377723501\,-0.7071426351921297\,-0.7070709253626158\,6.201001387682244e-07\,-0.03230192948290776\,0.7071068461485667\,0.7071067162245179\,7.97438842154407e-08\,0.03230276349023896\,1.1920927321606933e-07\,1.1920927746590398e-07\,-0.9999999999999858\,0.06934328918782948\,-1.1920928725960365e-07\,-1.1920928803271566e-07\,0.9999999999999858\,-0.06934328918782946"
PartNet-Mobility,5601,Bottle,"1.0\,0.0\,0.0\,-0.0005599551694420758\,0.0\,1.0\,0.0\,0.0019422865789611755\,0.0\,0.0\,1.0\,-0.0017046002146265948\,0.0\,0.0\,0.0\,1.0",0.124115676,"0.09990456772497644\,0.10002359300162192\,0.24060125771380558",
PartNet-Mobility,5688,Bottle,"1.0\,0.0\,0.0\,0.00013782331655244617\,0.0\,1.0\,0.0\,-0.001149494490404742\,0.0\,0.0\,1.0\,0.003743667058955756\,0.0\,0.0\,0.0\,1.0",0.081672656,"0.07499976161056345\,0.07499978244365291\,0.14374952483219172","-1.1920926477295915e-07\,-1.1920926209667353e-07\,0.9999999999999858\,-0.07124971578913235\,1.1920927522510222e-07\,1.192092609744525e-07\,-0.9999999999999858\,0.07124971578913204"
PartNet-Mobility,5850,Bottle,"1.0\,0.0\,0.0\,0.0010987155755643949\,0.0\,1.0\,0.0\,-0.0021127047995378387\,0.0\,0.0\,1.0\,-0.004557990931100986\,0.0\,0.0\,0.0\,1.0",0.08464708,"0.1183342491883197\,0.11833425423367894\,0.16026909909599032",
PartNet-Mobility,5861,Bottle,"1.0\,0.0\,0.0\,0.000917164741306209\,0.0\,1.0\,0.0\,-0.000895580049048661\,0.0\,0.0\,1.0\,0.0005491832967585708\,0.0\,0.0\,0.0\,1.0",0.069627193,"0.07619686874212661\,0.07619686874212661\,0.12564262193416553","0.0\,0.0\,-1.0\,0.06282131096708277\,0.0\,0.0\,1.0\,-0.06282131096708277"
PartNet-Mobility,5902,Bottle,"1.0\,0.0\,0.0\,-0.0011545824575873234\,0.0\,1.0\,0.0\,-0.0007776424150486919\,0.0\,0.0\,1.0\,0.0014862861465709185\,0.0\,0.0\,0.0\,1.0",0.057190062,"0.1066192729958314\,0.1066192729958314\,0.08999972546694349","-1.1920927796280356e-07\,3.154832163973493e-14\,0.999999999999993\,-0.030489713933285482\,1.1920927553095908e-07\,-1.7324386436575e-14\,-0.9999999999999929\,0.030489713933285284\,-1.192092753225844e-07\,2.9451170286403545e-14\,0.9999999999999928\,0.04499985887503453\,1.1920927554542074e-07\,-2.6266668765150392e-14\,-0.999999999999993\,-0.03838479822433743"
PartNet-Mobility,6037,Bottle,"1.0\,0.0\,0.0\,0.000841246560117713\,0.0\,1.0\,0.0\,-0.0013441499042998808\,0.0\,0.0\,1.0\,0.001091948745881954\,0.0\,0.0\,0.0\,1.0",0.049777894,"0.07619921517006417\,0.07619921598758961\,0.05919613231730178","-1.1920927459981178e-07\,0.0\,0.9999999999999928\,-0.029598061616824066\,1.1920926460610333e-07\,-4.441577916138435e-15\,-0.9999999999999929\,0.022740160319282242\,-2.3380065778125003e-15\,-2.980232256999219e-08\,0.9999999999999996\,0.029598065023194287\,-1.1122342052414825e-15\,2.9802322376558424e-08\,-0.9999999999999996\,-0.02959806502319429"
PartNet-Mobility,6040,Bottle,"1.0\,0.0\,0.0\,0.00042652290229261425\,0.0\,1.0\,0.0\,0.0005451085599148531\,0.0\,0.0\,1.0\,0.0002577226509128394\,0.0\,0.0\,0.0\,1.0",0.068506698,"0.0762027356646584\,0.07620273974797565\,0.11906668872636672","0.0\,0.0\,1.0\,-0.04048272986341184\,0.0\,0.0\,-1.0\,0.04048272986341184"
PartNet-Mobility,6209,Bottle,"1.0\,0.0\,0.0\,0.0003287054766309295\,0.0\,1.0\,0.0\,3.635831515120917e-05\,0.0\,0.0\,1.0\,0.00018900404417100843\,0.0\,0.0\,0.0\,1.0",0.029631825,"0.040000060255701506\,0.0400000631587608\,0.047557338433789995","7.653799959977544e-15\,1.1920932715811722e-07\,0.9999999999999929\,-0.022461173040087268\,2.3841856833563485e-07\,-1.7881396368675023e-07\,-0.9999999999999556\,0.023778664088349603\,-3.552713714243943e-15\,-1.1920929075821414e-07\,-0.9999999999999928\,-0.02377866742464228\,3.5527136706047674e-15\,1.1920928871587302e-07\,0.9999999999999928\,0.023778667424642276"
PartNet-Mobility,6222,Bottle,"1.0\,0.0\,0.0\,0.0003158106114300452\,0.0\,1.0\,0.0\,-0.0011809493606231847\,0.0\,0.0\,1.0\,0.003918456607265419\,0.0\,0.0\,0.0\,1.0",0.071873231,"0.07620287843841922\,0.07620287415444071\,0.12541016351039147","0.0\,0.0\,1.0\,-0.06270508175519574\,0.0\,0.0\,-1.0\,0.04750382099505046"
PartNet-Mobility,6263,Bottle,"1.0\,0.0\,0.0\,0.00018650319734203613\,0.0\,1.0\,0.0\,-0.0003620842695237769\,0.0\,0.0\,1.0\,-0.002161759087882433\,0.0\,0.0\,0.0\,1.0",0.067195767,"0.07619724293507213\,0.07619724694025187\,0.11470519851613764","-1.1920927307109119e-07\,2.8400427384789395e-14\,0.9999999999999928\,-0.05735259560120679\,1.1920926777284062e-07\,-2.856259326426315e-14\,-0.9999999999999928\,0.05735259560120709\,0.0\,0.0\,1.0\,0.05123113060038878\,0.0\,0.0\,-1.0\,-0.05123113060038878"
PartNet-Mobility,6335,Bottle,"1.0\,0.0\,0.0\,-0.0007936612637292062\,0.0\,1.0\,0.0\,-0.00028802490383757207\,0.0\,0.0\,1.0\,-0.005232028645889002\,0.0\,0.0\,0.0\,1.0",0.05917987,"0.0762659359315445\,0.07620023747228477\,0.10253067460241125","1.192092762310014e-07\,-2.8492234792711015e-14\,-0.9999999999999928\,-0.05126533301030552\,-1.1920927621166021e-07\,2.864576392451554e-14\,0.9999999999999929\,0.051265333010305524"
PartNet-Mobility,6430,Bottle,"1.0\,0.0\,0.0\,-7.932857866925144e-05\,0.0\,1.0\,0.0\,-0.0003920671024822617\,0.0\,0.0\,1.0\,-0.0015931380346382897\,0.0\,0.0\,0.0\,1.0",0.061781787,"0.09895810827370344\,0.09895811195618487\,0.09999722680815218","1.8768521391786934e-15\,-2.9802321960918053e-08\,-0.9999999999999994\,0.03858590498130824\,-3.547661440624487e-15\,2.9802321799053955e-08\,0.9999999999999997\,-0.03858590498130815"
